"gene_id","symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000005513.10","SOX8","protein_coding",558.525117021865,5.16942063733767,0.133688051584566,38.6962201203142,0,0
"ENSG00000054598.9","FOXC1","protein_coding",2256.96160103598,4.00684367926267,0.0842072496907337,47.611072041053,0,0
"ENSG00000074410.14","CA12","protein_coding",27858.8770643612,-4.60013335460174,0.0938323874125429,-49.1128660621445,0,0
"ENSG00000082175.15","PGR","protein_coding",9809.13014699787,-6.61511207362926,0.148222562701755,-44.7433384740512,0,0
"ENSG00000091831.24","ESR1","protein_coding",30899.81020803,-5.40315723884614,0.11332884005522,-50.3512503572114,0,0
"ENSG00000092068.20","SLC7A8","protein_coding",8933.47952708958,-3.02105572534663,0.0725788544543215,-41.6961574654242,0,0
"ENSG00000100219.16","XBP1","protein_coding",110504.684292613,-3.07608500786413,0.0661937163311981,-46.5424559482553,0,0
"ENSG00000107485.18","GATA3","protein_coding",34700.1173526757,-3.63989821163443,0.0843046076218733,-43.4228004487743,0,0
"ENSG00000109436.8","TBC1D9","protein_coding",27014.7799408303,-3.80121273837013,0.0801532481671147,-47.3633713400877,0,0
"ENSG00000114547.10","ROPN1B","protein_coding",441.443442514924,5.60305038928249,0.138769720843897,40.4117532184914,0,0
"ENSG00000115648.14","MLPH","protein_coding",20635.8263247114,-4.59200884954077,0.0882417927282416,-52.1159917357506,0,0
"ENSG00000120262.10","CCDC170","protein_coding",1543.252767673,-4.12251074379239,0.0865002755425529,-47.7392705079981,0,0
"ENSG00000129514.8","FOXA1","protein_coding",17103.0107911614,-4.5612824566833,0.101876097472421,-45.3651363384063,0,0
"ENSG00000134830.6","C5AR2","protein_coding",1354.44281284429,-3.61702351428641,0.0795295804522035,-45.5750986242951,0,0
"ENSG00000135069.14","PSAT1","protein_coding",1195.67587373327,4.52724358794218,0.110478972593478,41.0118766279049,0,0
"ENSG00000135912.11","TTLL4","protein_coding",2242.61508655489,2.03564112496152,0.0521727073705261,39.0545967697722,0,0
"ENSG00000139865.16","TTC6","protein_coding",994.702322675762,-5.01366961545116,0.114065423434037,-44.0381548231396,0,0
"ENSG00000143412.10","ANXA9","protein_coding",2457.32319405173,-2.88876896130783,0.0741489369594912,-39.0966695130881,0,0
"ENSG00000150667.8","FSIP1","protein_coding",1015.61319748136,-5.65788137072611,0.120708634100524,-47.0209146232105,0,0
"ENSG00000154548.9","SRSF12","protein_coding",116.072999275399,3.63079154777009,0.0822751614329957,44.1621983397586,0,0
"ENSG00000156219.17","ART3","protein_coding",618.432269513192,7.34272426142769,0.172230942216147,42.684561772776,0,0
"ENSG00000160182.3","TFF1","protein_coding",13551.9724166253,-8.59530938434521,0.201134272106529,-42.8667645951907,0,0
"ENSG00000163064.7","EN1","protein_coding",1260.76565222881,5.09268218304069,0.119734203871998,42.5629472312085,0,0
"ENSG00000163879.11","DNALI1","protein_coding",2539.50676072016,-4.04586317946043,0.0960677794670682,-42.211179499694,0,0
"ENSG00000166535.20","A2ML1","protein_coding",1149.52935772263,6.53403235300819,0.158004960703158,41.3522196377338,0,0
"ENSG00000167614.14","TTYH1","protein_coding",976.248494067832,5.20926781564485,0.129390608780506,40.2828567036966,0,0
"ENSG00000168350.8","DEGS2","protein_coding",4878.8599193145,-4.1795069143258,0.104853814634089,-39.9681953661058,0,0
"ENSG00000169083.18","AR","protein_coding",10634.384539662,-3.81482955553819,0.100426072682542,-40.1100275808612,0,0
