"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","cilium movement","78/1406","211/14848",0.369668246445498,3.90386495250551,13.7395236335992,1.07158183984907e-27,5.46613896507008e-24,4.94619617656648e-24,"DNALI1/NEK10/ZMYND10/CFAP61/LRRC46/BBOF1/ATP1A4/CFAP57/SPEF1/PIERCE1/BBS4/DNAAF1/SPEF2/CFAP69/DNAH5/DNAH7/DNAAF3/ROPN1L/CFAP46/EFCAB6/CFAP90/IQUB/CFAP43/CCDC40/CFAP70/NME5/TMEM232/TTLL9/CFAP210/RIBC1/DNAAF11/TTC12/CCDC159/NHERF1/SPAG6/CFAP77/EFHC1/CFAP53/CFAP44/CFAP45/DNAI1/SORD/SPA17/DNAH9/TAC1/CFAP91/ODAD4/DRC2/DNAI4/CFAP141/TLE6/SPAG17/RSPH4A/ODAD3/TEKT1/TEKT2/DNAI3/DYNC2H1/DNAH6/CFAP276/SPAG8/CELSR2/SLC9C1/ARMC3/NEURL1/HOATZ/TTC29/DRC1/CFAP52/ODAD1/TEKT4/CELF3/CFAP144/CFAP65/CFAP221/TEKT5/TTLL6/PLA2G3",78
"GO:0060285","cilium-dependent cell motility","62/1406","174/14848",0.35632183908046,3.76292081555239,11.8562916589491,2.75670962863176e-21,4.68732527188354e-18,4.24146376194746e-18,"DNALI1/CFAP61/LRRC46/BBOF1/ATP1A4/CFAP57/PIERCE1/BBS4/SPEF2/CFAP69/DNAH5/DNAH7/ROPN1L/CFAP46/EFCAB6/CFAP90/IQUB/CFAP43/CCDC40/TMEM232/TTLL9/CFAP210/RIBC1/DNAAF11/TTC12/CCDC159/SPAG6/CFAP77/EFHC1/CFAP53/CFAP44/CFAP45/DNAI1/SORD/DNAH9/TAC1/DRC2/CFAP141/TLE6/RSPH4A/ODAD3/TEKT1/TEKT2/DNAI3/DYNC2H1/DNAH6/CFAP276/SPAG8/SLC9C1/ARMC3/NEURL1/HOATZ/DRC1/CFAP52/TEKT4/CELF3/CFAP144/CFAP65/CFAP221/TEKT5/TTLL6/PLA2G3",62
"GO:0035082","axoneme assembly","41/1406","95/14848",0.431578947368421,4.55767013550947,11.2503848434071,5.14970847142958e-18,5.25373258255246e-15,4.75399403099342e-15,"ZMYND10/LRRC46/BBOF1/CFAP57/SPEF1/PIERCE1/DNAAF1/DNAL1/RSPH1/SPEF2/CFAP69/DNAH5/DNAH7/DNAAF3/CFAP46/DNAAF8/CFAP43/CCDC40/TOGARAM1/RP1/DNAAF11/TTC12/SPAG6/CFAP44/DNAI1/CFAP91/ODAD4/DRC2/DNAI4/SPAG17/RSPH4A/ODAD3/TEKT2/DNAI3/NEURL1/HOATZ/DRC1/FOXJ1/ODAD1/CFAP65/PLA2G3",41
"GO:0010817","regulation of hormone levels","98/1406","463/14848",0.211663066954644,2.23525833438304,8.73320036519842,1.10417585723717e-14,6.25822338640757e-12,5.66293699881286e-12,"ESR1/SLC7A8/GATA3/FOXA1/ABAT/ABCC8/KCNJ11/STC2/AGTR1/SLC30A8/TRH/UGT2B15/BAIAP3/SYTL4/PCSK4/HID1/SYBU/CACNA1H/CPLX1/RPH3AL/CRY2/ITPR1/RAPGEF3/CPA3/GIPR/PNPLA4/WNK4/UGT2B11/GHRH/DHRS2/TBX3/UGT2B28/TPO/HSD17B4/CHGA/MYB/PTPRN2/MYRIP/ADCY5/CYP21A2/SMPD3/IRS1/TFAP2B/DDO/ADRA2A/SREBF1/F2RL2/GDF9/SULT1A1/AFP/HSD17B8/TAC1/SLC18A2/RAB44/FFAR2/KISS1R/UGT2B17/GRP/RAB11FIP1/PCSK6/ERO1B/CTSG/GJA1/GCNT4/IYD/NKX3-1/CHST8/HPN/GPER1/DIO1/RFX6/C1QTNF3/PCSK1/CPE/ABCA12/LIPE/CMA1/NNAT/GHR/ABCB1/UCN/CYP26A1/FGB/TRPA1/CRYM/LEP/ADRA2C/SDR16C5/ADH1C/CYP2C8/RDH16/ADH1B/ADIPOQ/FAM3B/PLA2G3/BCHE/SNAP25/DHRS9",98
"GO:0001578","microtubule bundle formation","43/1406","125/14848",0.344,3.63279658605974,9.55991928847293,1.5286465708577e-14,7.79762615794513e-12,7.05591075074844e-12,"ZMYND10/LRRC46/BBOF1/CFAP57/SPEF1/PIERCE1/DNAAF1/DNAL1/RSPH1/SPEF2/CFAP69/DNAH5/DNAH7/DNAAF3/CFAP46/DNAAF8/CFAP43/CCDC40/TOGARAM1/RP1/DNAAF11/TTC12/SPAG6/CFAP44/DNAI1/CFAP91/ODAD4/DRC2/DNAI4/SPAG17/RSPH4A/ODAD3/TEKT2/DNAI3/NEURL1/HOATZ/DRC1/FOXJ1/ODAD1/TPPP/CFAP65/TTLL6/PLA2G3",43
"GO:0003351","epithelial cilium movement involved in extracellular fluid movement","23/1406","48/14848",0.479166666666667,5.06021811284969,9.1121150462024,7.23720892418424e-12,3.07641689352199e-09,2.78378606425859e-09,"NEK10/DNAAF1/SPEF2/DNAH5/DNAAF3/ROPN1L/CFAP43/CCDC40/NME5/DNAAF11/NHERF1/SPAG6/CFAP53/CFAP45/DNAI1/SPA17/DNAH9/ODAD4/SPAG17/RSPH4A/ODAD3/DRC1/CFAP221",23
"GO:0044782","cilium organization","84/1406","418/14848",0.200956937799043,2.12219673715519,7.52669029172734,1.68939910607957e-11,6.62894218470145e-09,5.99839277745661e-09,"DNALI1/ZMYND10/CFAP61/UBXN10/TTC8/LRRC46/BBOF1/CFAP57/SPEF1/FAM161B/PIERCE1/BBS4/DNAAF1/ABLIM3/CFAP184/DNAL1/RSPH1/SPEF2/CFAP69/DNAH5/DNAH7/DNAAF3/CFAP46/RAB17/WDR19/DNAAF8/LIMA1/DNMBP/IQUB/CFAP43/TAPT1/IFT140/CCDC40/MACIR/CFAP70/TCTN1/NME5/TOGARAM1/CEP126/LCA5L/RP1/DNAAF11/TTC12/IFT46/CCDC159/NHERF1/SPAG6/CFAP53/IFT70A/CFAP44/CCNO/CATIP/DNAI1/ERICH3/CFAP91/KCNF1/ODAD4/DRC2/DNAI4/MCIDAS/SPAG17/DCDC2/TBC1D30/RSPH4A/ODAD3/TEKT1/TEKT2/DNAI3/DYNC2H1/CIMAP3/CELSR2/MAK/NEURL1/HOATZ/TTC29/DRC1/FOXJ1/CDC14A/ODAD1/TEKT4/CFAP65/CFAP221/TEKT5/PLA2G3",84
"GO:0006858","extracellular transport","23/1406","51/14848",0.450980392156863,4.76255822385853,8.70485516180918,3.47700093749664e-11,1.26687012729788e-08,1.14636459480622e-08,"NEK10/DNAAF1/SPEF2/DNAH5/DNAAF3/ROPN1L/CFAP43/CCDC40/NME5/DNAAF11/NHERF1/SPAG6/CFAP53/CFAP45/DNAI1/SPA17/DNAH9/ODAD4/SPAG17/RSPH4A/ODAD3/DRC1/CFAP221",23
"GO:0042391","regulation of membrane potential","78/1406","398/14848",0.195979899497487,2.06963694718257,6.99558563671049,3.17268327256416e-10,1.01149108583436e-07,9.15277378302227e-08,"ABAT/MAPT/ABCC8/KCNJ11/KCNJ3/ATP1A4/SLC4A8/SLC26A3/KCNE4/TMEM25/KCND3/CACNA1H/INSYN2A/KCNC2/GPD1L/CACNA1D/KCNH1/SLC6A4/GNA14/SCN7A/BCL2/RIMS4/GLRA3/GRIA1/SCN2B/GRIK4/ATP1A2/INSYN1/GRIK3/GRIA2/MPP2/GLRB/TAC1/KCNMA1/CLN3/ALB/KCNF1/PIEZO2/SCN1B/GABRA2/KCNC1/KCNK6/ASIC2/GJA1/CHRNA9/KCND2/GPR88/SLC1A7/GRIK1/GPER1/SLC26A5/RIMS1/NDP/CHRNA6/NPY2R/NOS1AP/CASQ2/SCN4B/DCN/GRIN1/HSH2D/TRPA1/CLDN19/SCN4A/SLC4A4/KCNS2/GRIA4/DRD1/CD36/CHRNB2/KCNIP2/CBLN1/HCN2/FGF12/ABCB5/SLC8A2/ADRB1/GRIA3",78
"GO:0007389","pattern specification process","78/1406","419/14848",0.186157517899761,1.96590812644072,6.48641578318451,3.73206547174187e-09,1.05762588729752e-06,9.57023806642579e-07,"FOXA1/AR/ERBB4/TTC8/CHRD/PIERCE1/BBS4/DNAAF1/BMPR1B/DNAH5/FGF10/BTG2/DNAAF3/LMX1B/WDR19/SEMA3F/IFT140/CCDC40/BHLHE40/EMX1/TCTN1/GLI3/ZBTB16/TBX3/MSX2/HOXB2/EPB41L5/DNAAF11/LFNG/FRS2/CFAP53/ASCL1/SEMA3C/PBX1/MEIS3/CFAP45/DNAI1/HOXB1/SHROOM3/BMP4/HOXD8/ROBO2/HOXC5/HOXB3/ODAD4/HOXB5/AXIN2/DSCAML1/PCSK6/PKD1L1/ZEB1/ODAD3/LRP2/DYNC2H1/NKX3-1/DLX2/PAX2/CIMAP3/HHEX/HOXC4/GSC/CELSR2/SFRP2/STC1/HOXB4/GDF3/CDON/LEF1/HOXB6/DRC1/FOXJ1/CFAP52/FUT6/FOXN4/GREM2/DLX1/GPC3/TCAP",78
