"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007059","chromosome segregation",409,0.534005479919236,2.5994603188268,1.40121143105596e-32,8.44229887211218e-29,7.13290366377541e-29,3432,"tags=39%, list=18%, signal=33%","HORMAD1/CENPW/CCNE1/CDCA8/CDC20/NCAPD2/CDCA2/TTK/NDC80/CENPN/KIF2C/SRPK1/HASPIN/AURKB/TPX2/PLK1/GPSM2/BUB1/CCNB2/CENPO/TRIP13/STIL/SKA1/HJURP/CHEK2/TUBB/KIFC1/FAM83D/NCAPH/KIF18B/FBXO5/SGO1/SKA3/TENT4A/EML4/BIRC5/NCAPG/CENPL/PSRC1/DLGAP5/UBE2C/MYBL2/KIF23/SPDL1/PTTG1/INCENP/ASPM/KIF15/KIF18A/KNSTRN/KIF14/CDT1/CENPF/NCAPG2/DIAPH3/RCC2/AURKA/MAD2L1/CENPI/KIF4A/MKI67/SEH1L/RCC1/HAUS8/CENPE/OIP5/NUF2/KIF11/CDK1/BUB1B/MAEL/GEN1/CCNB1/SGO2/CSNK2A2/SMC6/HAUS6/ACTR3/TTL/SPC24/CCNB1IP1/MIS18A/CCSAP/ACTL6A/FIRRM/DCAF13/TUBGCP3/TACC3/LSM14A/SPAG5/KNL1/FANCD2/STAG3/ZWILCH/ESPL1/CHMP4C/NDC1/NEK2/PLSCR1/ZW10/SPC25/PRC1/HAUS5/RACGAP1/DPF3/MAPRE2/RAN/BAG6/CPAP/SASS6/CENPM/SMC4/SLC25A5/SMARCA4/NUP62/NCAPD3/ZWINT/ECT2/HAUS7/DSN1/RIOK3/MEIOC/CDC6/MAD2L2/CCDC86/DRG1/CCNE2/NCAPH2/SMARCB1/PINX1/SMC2/UHRF1/RMI2/TOP2A/PRICKLE1/CENPQ/CENPH/KNTC1/FLNA/KMT5A/NUP37/CENPU/SYCE1L/RAD18/ACTB/MAPRE1/RAD21/BAZ1B/CENPK/ESCO2/CIAO2B/BRD7/NDEL1/PSMG2/ACTR2/SUN1/SIRT2/EHMT2/ANAPC1/BRIP1"
"GO:0098813","nuclear chromosome segregation",302,0.529625467655921,2.51734616482046,1.52797515888091e-23,3.36068949580686e-20,2.83944868341943e-20,3432,"tags=40%, list=18%, signal=34%","HORMAD1/CCNE1/CDCA8/CDC20/NCAPD2/TTK/NDC80/KIF2C/HASPIN/AURKB/TPX2/PLK1/BUB1/CCNB2/TRIP13/SKA1/CHEK2/KIFC1/FAM83D/NCAPH/KIF18B/FBXO5/SGO1/SKA3/TENT4A/EML4/BIRC5/NCAPG/PSRC1/DLGAP5/UBE2C/MYBL2/KIF23/SPDL1/PTTG1/INCENP/ASPM/KIF15/KIF18A/KNSTRN/KIF14/CDT1/CENPF/NCAPG2/RCC2/AURKA/MAD2L1/CENPI/KIF4A/SEH1L/RCC1/CENPE/NUF2/KIF11/CDK1/BUB1B/MAEL/GEN1/CCNB1/ACTR3/TTL/SPC24/CCNB1IP1/CCSAP/ACTL6A/DCAF13/TACC3/LSM14A/SPAG5/KNL1/FANCD2/STAG3/ZWILCH/ESPL1/CHMP4C/NDC1/NEK2/ZW10/SPC25/PRC1/RACGAP1/DPF3/RAN/BAG6/SMC4/SMARCA4/NUP62/NCAPD3/ZWINT/ECT2/DSN1/MEIOC/CDC6/MAD2L2/DRG1/CCNE2/NCAPH2/SMARCB1/PINX1/SMC2/UHRF1/RMI2/TOP2A/PRICKLE1/CENPQ/KNTC1/FLNA/KMT5A/SYCE1L/ACTB/MAPRE1/RAD21/BAZ1B/CENPK/BRD7/PSMG2/ACTR2/SUN1/SIRT2/EHMT2/ANAPC1/BRIP1"
"GO:0000280","nuclear division",406,0.493045679257798,2.39829914160511,1.67337236305736e-23,3.36068949580686e-20,2.83944868341943e-20,3386,"tags=37%, list=18%, signal=31%","HORMAD1/CCNE1/CDCA8/CDC20/NCAPD2/CDCA2/TTK/NDC80/CHEK1/KIF2C/ANKLE1/FANCA/HASPIN/AURKB/RAD51AP1/RAD54L/TPX2/PLK1/BUB1/CCNB2/TRIP13/SKA1/ANLN/CHEK2/KIFC1/MASTL/RANBP1/NCAPH/KIF18B/FBXO5/SGO1/SKA3/TENT4A/EML4/BIRC5/NCAPG/PSRC1/DLGAP5/UBE2C/MYBL2/KIF23/SPDL1/PTTG1/INCENP/ASPM/KIF15/CDC25B/KIF18A/KNSTRN/NPM2/CCNA1/MTBP/KIF14/CDT1/CENPF/KLHDC3/NCAPG2/TGFA/BORA/AURKA/MAD2L1/CENPI/KIF4A/MKI67/SEH1L/RCC1/CENPE/CKS2/NUF2/RAD51/KIF11/CDK1/GPR3/BUB1B/MAEL/GEN1/CCNB1/NFIB/ACTR3/SPC24/CCNB1IP1/CCSAP/DCAF13/RAD54B/UBE2S/CALR/LSM14A/SPAG5/KNL1/IL1A/FANCD2/STAG3/ZWILCH/ESPL1/CHMP4C/NDC1/NEK2/SPHK1/ZW10/BRCA2/SPC25/PRC1/FIGNL1/BRME1/RACGAP1/MYBL1/TNF/RAN/BAG6/SMC4/NUP62/NCAPD3/ZWINT/CDC25C/RAD51B/MEIOC/MAD2L2/CYP26B1/CCDC86/KIF20B/DRG1/HFM1/CCNE2/NCAPH2/HSF1/SPAST/PINX1/SMC2/UHRF1/TOP2A/PRICKLE1/KNTC1/FLNA/EME1/KMT5A/SYCE1L/PKMYT1/TDRD12/FBXO43/LIF/MAPRE1/RAD21/BAZ1B/CENPK/BTC/NDEL1/PSMG2/ACTR2/SUN1/SIRT2/EHMT2"
"GO:0022613","ribonucleoprotein complex biogenesis",453,0.464497691758095,2.27945159923741,6.53853397696076e-22,8.60990266479625e-19,7.27451221436203e-19,5540,"tags=49%, list=29%, signal=36%","SRSF12/CDKN2A/RIOK1/GTPBP4/SRPK1/DKC1/PAK1IP1/LYAR/RRP1B/UTP11/NIP7/BYSL/NOL10/WDR77/SF3A3/UTP4/WDR43/NOP58/GNL2/LTV1/PHF5A/AGO2/SNRPA1/SF3B3/RPF2/LSM2/SF3B6/PNO1/LSM6/RPP40/BOP1/BRIX1/SNRPG/NPM3/MPHOSPH10/SNRPD1/USP39/MTERF3/RRP36/BMS1/RRP1/PSIP1/RPP38/EIF3B/FBL/RPS7/WDR12/SUV39H1/DCAF13/NOP16/EIF2S2/MRTO4/UTP6/WDR3/RPP25/SNRPC/PRPF18/DDX18/RPL7L1/TGS1/URB2/NOB1/GAR1/PDCD11/ABT1/BUD13/CELF4/XPO1/RBIS/MYBBP1A/SLX9/EIF3E/RAN/PRPF3/ISY1/RUVBL1/NOLC1/EBNA1BP2/EMG1/RCL1/RPS27A/ISG20L2/STRAP/PUF60/PRKDC/CLP1/RIOK3/UTP14A/DDX10/DDX28/WDR74/DDX21/PES1/DDX49/HTATSF1/NOP56/GEMIN4/CHD7/NOP2/EXOSC2/DNTTIP2/NOPCHAP1/RBM34/POP7/METTL5/NUP88/EIF5B/POP4/NAT10/GNL3L/WDR46/RPS19/WDR75/RRP7A/NOC2L/DDX1/MDN1/ERI1/EXOSC9/AGO1/NOL9/HSP90AB1/EXOSC8/SNRPF/GCFC2/NOL7/IMP4/HEATR1/MAK16/FSAF1/AIRIM/RPS16/EIF3K/RRP9/LSM4/EXOSC4/USP36/MALSU1/RIOX2/RPS12/SF3B4/NUFIP1/BUD23/NOM1/PTBP2/TSR1/MPHOSPH6/RPL35A/C1QBP/RRS1/GEMIN2/EXOSC5/ZNHIT6/SF3B5/RPS19BP1/DDX27/SNU13/NOL11/TXNL4A/PWP1/UTP25/NOP10/EIF3D/SRSF1/YTHDF2/REXO4/RBMX2/RPL5/HSP90AB3P/DHX37/DROSHA/SRSF10/NOL6/GEMIN6/LSG1/RPL38/NCBP1/SNRPB2/EIF3M/UTP20/SIRT7/SNRPD2/SNRPD3/RPP30/DDX55/DHX9/HEATR3/EXOSC6/PA2G4/TFB2M/RPL7/AGO4/ISG20/EIF6/URB1/RPSA/EIF4A3/SNRPB/RPS6/PELP1/NPM1/SNRPE/DDX20/ESF1/RPS21/KRI1/LAS1L/PWP2/EIF4H/NOA1/RPS25/RRP15/NSUN5/PPAN/EIF3I/MPV17L2/SURF6/SART1/DDX52/RPS8/ATR/NSUN4/SF3B2/KHDC4"
"GO:0140014","mitotic nuclear division",270,0.520182459188298,2.44416719961507,1.23006119316955e-19,1.23518644814109e-16,1.04360981231016e-16,4589,"tags=47%, list=24%, signal=36%","CDCA8/CDC20/NCAPD2/CDCA2/TTK/NDC80/CHEK1/KIF2C/HASPIN/AURKB/TPX2/PLK1/BUB1/TRIP13/SKA1/ANLN/CHEK2/KIFC1/RANBP1/NCAPH/KIF18B/FBXO5/SKA3/TENT4A/EML4/BIRC5/NCAPG/PSRC1/DLGAP5/UBE2C/MYBL2/KIF23/SPDL1/INCENP/KIF15/KIF18A/KNSTRN/NPM2/MTBP/KIF14/CDT1/CENPF/NCAPG2/TGFA/BORA/AURKA/MAD2L1/CENPI/KIF4A/MKI67/SEH1L/RCC1/CENPE/NUF2/KIF11/CDK1/BUB1B/GEN1/CCNB1/NFIB/SPC24/CCSAP/UBE2S/LSM14A/SPAG5/KNL1/IL1A/ZWILCH/ESPL1/CHMP4C/NEK2/SPHK1/ZW10/SPC25/PRC1/RACGAP1/TNF/RAN/SMC4/NUP62/NCAPD3/ZWINT/CDC25C/MAD2L2/CCDC86/KIF20B/DRG1/NCAPH2/SPAST/PINX1/SMC2/UHRF1/PRICKLE1/KNTC1/FLNA/KMT5A/PKMYT1/FBXO43/MAPRE1/RAD21/BAZ1B/CENPK/BTC/NDEL1/PSMG2/SIRT2/USP44/RRS1/CHMP1A/WRAP73/MZT1/ANKRD53/KATNB1/CEP192/EDN1/CAV2/SMC1A/EPGN/REEP4/CLASP1/KIF25/BMP7/VPS4A/PPP1CC/CEP85/SMC3/MAD1L1/ANKLE2"
"GO:0006260","DNA replication",274,0.500127901131572,2.35629906497179,7.87293152766945e-18,5.27049027268983e-15,4.45304056933444e-15,3022,"tags=37%, list=16%, signal=31%","CCNE1/CDK2AP1/ORC1/RFC4/GTPBP4/CHEK1/CDC25A/NASP/TICRR/MCM10/DSCC1/MCM7/DONSON/PRIM2/DBF4/MCM5/MCM6/CCNA2/MCM3/EXO1/FAF1/CDC45/SSRP1/FBXO5/ORC6/MCM4/BLM/CDC7/CHAF1B/DNAJC2/NPM2/CDT1/EGFR/GINS1/RFWD3/MMS22L/RFC2/POLQ/GINS3/RAD51/DNA2/MCM2/CDK1/GEN1/FEN1/KIN/ZPR1/CHRAC1/POLD1/RFC3/NFIB/GMNN/WRNIP1/ACTL6A/CHAF1A/DDX11/E2F8/PCNA/GINS4/METTL4/CACYBP/WDHD1/TONSL/TOP1MT/RNASEH1/TK1/BRCA2/UCHL5/TIPIN/E2F7/ATAD5/FBH1/RBMS1/FAM111B/CDK2/SSBP1/S100A11/TOPBP1/DTD1/TRAIP/ASF1A/TWNK/RUVBL1/RECQL4/PRKDC/CDC6/RPA1/CCNE2/MCM8/CARM1/POLH/MCMBP/RMI2/ORC3/EME1/KMT5A/POLE2/DTL/MGME1/POLE3/SET"
"GO:0044772","mitotic cell cycle phase transition",418,0.44352748206646,2.16662210147427,9.4484307727252e-18,5.69267954056693e-15,4.80974854914727e-15,3559,"tags=36%, list=19%, signal=30%","CCNE1/SKP2/CDCA8/CDKN2A/CDC20/TTK/ORC1/NDC80/GTPBP4/CHEK1/FOXM1/CDC25A/E2F3/MELK/TICRR/HASPIN/AURKB/DONSON/PLK1/BUB1/EZH2/CCNB2/TRIP13/DBF4/STIL/SKA1/ANLN/CCNA2/CHEK2/MASTL/FBXO5/SKA3/CLSPN/BLM/CDC7/BIRC5/DLGAP5/UBE2C/TFDP1/SPDL1/CCNY/INCENP/CDC25B/CDK6/NPM2/CCNA1/MTBP/KIF14/CENPF/EGFR/CCNJ/RCC2/AURKA/RFWD3/MAD2L1/IQGAP3/RCC1/CENPE/CKS2/CPSF3/RBL1/NUF2/CDKN2C/NAE1/CDK1/BUB1B/GEN1/TERT/CCNB1/E2F1/NFIB/NES/RRM2/SPC24/CDKN3/ACTL6A/BID/TACC3/UBE2S/ID4/KNL1/ZWILCH/CUL1/ANXA1/ESPL1/CHMP4C/ZW10/SPC25/E2F7/ATAD5/PRMT2/FAM107A/DPF3/CDK2/TOPBP1/MIIP/KLF11/CPAP/RDX/CUL2/SASS6/DGKZ/EIF4G1/ADAM17/SMARCA4/ZWINT/CDC25C/RAD51B/PRKDC/USH1C/AVEN/CDC6/MAD2L2/MYC/PIM2/CCNE2/EIF4EBP1/SMARCB1/CDK4/SPAST/PINX1/CDKN2D/PLRG1/UBE2E2/BRD4/BCAT1/KNTC1/TCF3/TPRA1/DTL/PKMYT1/NABP1/ACTB/CRLF3/TFAP4/RAD21/WAC/CDKN2B/BRD7/TAF2/FBXW7/PSMG2/BTN2A2/CCNF/SIRT2/ANAPC1/KHDRBS1/USP44/TMEM14B/CCND3"
"GO:1901987","regulation of cell cycle phase transition",419,0.442876362267086,2.16199471223483,5.02579557241335e-17,2.52336819364921e-14,2.13199538492903e-14,3561,"tags=36%, list=19%, signal=30%","HORMAD1/CCNE1/CDCA8/CDKN2A/CDC20/TTK/ORC1/NDC80/GTPBP4/CHEK1/CDC25A/TICRR/STK38/HASPIN/AURKB/DONSON/PLK1/BUB1/EZH2/MSH2/TRIP13/DBF4/STIL/SKA1/ANLN/CHEK2/FAM83D/CDC45/FBXO5/SKA3/CLSPN/BLM/CDC7/BIRC5/DLGAP5/UBE2C/TFDP1/SPDL1/LYN/INCENP/CDC25B/CDK6/NPM2/MTBP/KIF14/CDT1/CENPF/EGFR/SIX3/RCC2/AURKA/RFWD3/MAD2L1/CENPE/CPSF3/RBL1/PLCG2/NUF2/CDK16/RAD51/DNA2/CDKN2C/NAE1/CDK1/BUB1B/GEN1/TERT/CCNB1/E2F1/RRM2/SPC24/CCNQ/ACTL6A/BID/MDC1/RHNO1/KNL1/FANCD2/TIPRL/ZWILCH/ANXA1/ESPL1/CHMP4C/NSUN2/ZW10/BRCA2/SPC25/TIPIN/E2F7/ATAD5/PRMT2/FAM107A/DPF3/CDC5L/CDK2/RNF168/STK33/TOPBP1/MIIP/KLF11/CPAP/RDX/SASS6/DGKZ/EIF4G1/ADAM17/H2AX/SMARCA4/ZWINT/CDC25C/RAD51B/PRKDC/AVEN/CDC6/MAD2L2/CCNE2/SMARCB1/CDK4/PROX1/PINX1/CDKN2D/PLRG1/UBE2E2/BRD4/KNTC1/TCF3/EME1/TPRA1/WDR76/CDK18/DTL/PKMYT1/NABP1/ACTB/CRLF3/TFAP4/RAD21/MLF1/WAC/CDKN2B/BRD7/FBXW7/PSMG2/BTN2A2/SIRT2/BRIP1/USP44/TMEM14B/CCND3/GNB1L"
"GO:0003341","cilium movement",211,-0.494357742321322,-2.49743492916434,1.72927036807863e-16,6.94590264511584e-14,5.86859754387949e-14,3570,"tags=47%, list=19%, signal=39%","EFHB/CFAP126/CCDC146/CATSPER2/CATSPERE/CFAP157/TEKT5/BBS1/CFAP221/BBS2/CFAP65/TSSK4/CFAP119/CFAP144/CELF3/TEKT4/ZMYND12/ODAD1/CCDC88C/CFAP52/CATSPER3/DRC1/TTC29/HOATZ/NEURL1/CCDC39/ARMC3/JHY/SLC9C1/CELSR2/UBE2B/SPAG8/CFAP276/DNAH6/DNAAF4/DYNC2H1/DNAI3/TEKT2/TEKT1/ODAD3/KIF9/RSPH4A/SPAG17/TLE6/CFAP141/DNAI4/DRC2/ODAD4/PIERCE2/CFAP91/TTC21A/TAC1/DNAH9/SPA17/SORD/DNAI1/CFAP45/CFAP44/CFAP53/EFHC1/CFAP77/SPAG6/NHERF1/KATNIP/STK36/CCDC159/TTC12/DNAAF11/KIAA0319L/RIBC1/CFAP210/LZTFL1/TTLL9/TMEM232/NME5/CFAP70/CCDC40/CFAP43/IQUB/CFAP90/EFCAB6/CFAP46/ROPN1L/DNAAF3/DNAH7/DNAH5/CFAP69/SPEF2/DNAAF1/BBS4/PIERCE1/SPEF1/CFAP57/ATP1A4/BBOF1/LRRC46/CFAP61/ZMYND10/NEK10/DNALI1"
"GO:0007346","regulation of mitotic cell cycle",477,0.423425909435489,2.09296974855104,1.6706770436382e-16,6.94590264511584e-14,5.86859754387949e-14,3418,"tags=33%, list=18%, signal=28%","FOXC1/CCNE1/CDCA8/CDKN2A/CDC20/CDCA2/TTK/ORC1/NDC80/GTPBP4/CHEK1/FOXM1/CDC25A/TICRR/HASPIN/AURKB/BTG3/DONSON/CKS1B/PLK1/BUB1/EZH2/MSH2/TRIP13/STIL/SKA1/ANLN/CHEK2/MASTL/FBXO5/SKA3/CLSPN/BLM/CDC7/BIRC5/DLGAP5/UBE2C/INTS13/TFDP1/SPDL1/INCENP/CDC25B/CDK6/NPM2/MTBP/KIF14/CENPF/EGFR/TGFA/BORA/RCC2/AURKA/RFWD3/MAD2L1/MKI67/RCC1/CENPE/PIM1/CKS2/CPSF3/RBL1/NUF2/CDKN2C/NAE1/CDK1/BUB1B/GEN1/TERT/CCNB1/E2F1/GMNN/RPRM/RRM2/TTL/SPC24/PRKCA/HECA/ACTL6A/BID/MDC1/KNL1/IL1A/PML/FANCD2/ZWILCH/ANXA1/ESPL1/CHMP4C/NEK2/SPHK1/ZW10/BRCA2/SPC25/TIPIN/E2F7/ATAD5/PRMT2/FAM107A/DPF3/CDK2/STK33/TOPBP1/MIIP/TNF/KLF11/CPAP/RDX/SASS6/DGKZ/EIF4G1/ADAM17/SMARCA4/NUP62/ZWINT/APP/CDC25C/RAD51B/PRKDC/AVEN/MEIOC/CDC6/MAD2L2/PIM2/KIF20B/CCNE2/PTCH1/EIF4EBP1/SMARCB1/CDK4/HSF1/PINX1/CDKN2D/PLRG1/UBE2E2/BRD4/KNTC1/TCF3/EME1/TPRA1/SDCBP/DTL/PKMYT1/NABP1/ACTB/CRLF3/FBXO43/TFAP4/RAD21/WAC/CDKN2B/BTC/BRD7/FBXW7/PSMG2/BTN2A2/SIRT2/LGMN/ANAPC1"
