"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04110","Cell cycle",155,0.608479156449864,2.66958991011462,6.01787304668625e-20,2.13032705852693e-17,1.5773161985525e-17,2647,"tags=45%, list=14%, signal=39%","CCNE1/SKP2/CDKN2A/CDC20/TTK/ORC1/NDC80/CHEK1/CDC25A/E2F3/TICRR/AURKB/MCM7/PLK1/BUB1/CCNB2/E2F2/TRIP13/DBF4/MCM5/MCM6/CCNA2/MCM3/CHEK2/HDAC2/CDC45/FBXO5/SGO1/ORC6/MCM4/CDC7/SMC1B/TFDP1/CDCA5/PTTG1/CDC25B/CDK6/CCNA1/MTBP/CDT1/MAD2L1/RBL1/CDKN2C/MCM2/YWHAQ/CDK1/BUB1B/CCNB1/E2F1/SFN/E2F5/DDX11/PCNA/E2F4/KNL1/CUL1/ESPL1/CDK2/CDC25C/PRKDC/CDC6/MAD2L2/MYC/CCNE2/CDK4/CDKN2D/PPP2R5D/YWHAZ/ORC3"
"hsa03008","Ribosome biogenesis in eukaryotes",75,0.632092609382571,2.46471672660808,2.2011456662368e-11,3.89602782923914e-09,2.88465932048929e-09,4749,"tags=65%, list=25%, signal=49%","RIOK1/GTPBP4/DKC1/POP1/UTP4/WDR43/NOP58/RBM28/GNL2/TCOF1/RPP40/MPHOSPH10/BMS1/CSNK2A2/RPP38/FBL/UTP6/WDR3/RPP25/NOB1/GAR1/XPO1/REXO2/RAN/EMG1/RCL1/UTP14A/NXT1/NOP56/POP7/NXT2/POP4/NAT10/GNL3L/WDR75/RRP7A/MDN1/IMP4/HEATR1/CSNK2B/SNU13/NOP10/DROSHA/NOL6/LSG1/RPP30/LOC102724159/GNL3/EIF6"
"hsa03040","Spliceosome",146,0.489530292227148,2.1291456070825,1.18417805430666e-09,1.39733010408186e-07,1.0345976684995e-07,5113,"tags=51%, list=27%, signal=37%","RBM17/MAGOH/SF3A3/PHF5A/SNRPA1/SF3B3/LSM2/ALYREF/SF3B6/LSM6/THOC5/SNRPG/SNRPD1/USP39/MAGOHB/PRPF38A/TRA2B/SRSF3/PPIL1/SNRPC/PRPF18/BUD13/SMNDC1/CDC5L/SNRPA/PRPF3/ISY1/PUF60/DHX38/RP9/U2SURP/SRSF2/HNRNPA3/PPIH/SRSF7/PLRG1/BUD31/DHX16/SRSF4/SNRPF/CWC15/RBM8A/PPIE/LSM4/SF3B4/SF3B5/SNU13/TXNL4A/SNRNP40/NCBP2/EFTUD2/SRSF1/RBMX2/HSPA6/TCERG1/PQBP1/SRSF10/THOC3/BCAS2/LSM7/NCBP1/SNRPB2/SNRPD2/SNRPD3/PRPF40A/THOC7/THOC1/RNU6-8/U2AF1L4/EIF4A3/SNRPB/SNRPE/RBMX/CHERP"
"hsa03013","Nucleocytoplasmic transport",104,0.529512417803213,2.17797363556145,8.12311209482231e-09,7.18895420391774e-07,5.3227760831862e-07,4846,"tags=56%, list=26%, signal=42%","XPO5/NUP93/MAGOH/ALYREF/SEH1L/UPF3B/THOC5/KPNA2/MAGOHB/NUP205/UPF2/XPOT/NUP160/KPNA4/DDX19A/NDC1/SUMO3/IPO5/XPO1/RAN/SEC13/NUP155/NUP85/NUP62/TNPO3/NXT1/RANGAP1/NXT2/NUP88/NUP153/NUP37/NUP54/IPO13/NUP50/RBM8A/CSE1L/SUMO1/AHCTF1/TNPO2/SUMO2/XPO6/KPNA3/DDX19B/NUP35/NCBP2/IPO9/RANBP17/NUP107/THOC3/NCBP1/SRRM1/THOC7/NUP188/XPO7/THOC1/NUP210/POM121C/EIF4A3"
"hsa04382","Cornified envelope formation",144,0.452953266869944,1.96603114163266,1.98448327199913e-07,1.40501415657539e-05,1.04028702047954e-05,2717,"tags=34%, list=14%, signal=29%","KRT16/KRT83/PADI2/TGM1/CLDN16/KRT86/KRT79/KRT6B/DSG1/EPHX3/S100A8/ELOVL4/PKP1/S100A2/CLDN10/KRT81/DSG3/KRT6C/CERS3/ST14/S100A1/CLDN23/CLDN9/CLDN1/ELOVL1/TGM5/KRT6A/KRT5/S100A10/KRT23/S100A3/KRT17/S100A11/ITGA6/S100A6/COL4A4/KRT14/IVL/S100A5/S100A9/S100A4/CASP14/LAMC2/PPP2R5D/ITGB4/DSG2/TMEM79/COL4A3/LAMB3"
"hsa03030","DNA replication",34,0.654205819754366,2.17672313396156,1.66738456491478e-06,8.92278582914415e-05,6.60652296002645e-05,3748,"tags=65%, list=20%, signal=52%","RFC4/MCM7/PRIM2/MCM5/MCM6/MCM3/MCM4/RFC2/DNA2/MCM2/FEN1/POLD1/RFC3/PCNA/RNASEH1/SSBP1/RPA1/POLE2/POLE3/RFC5/POLA2/POLE"
"hsa05169","Epstein-Barr virus infection",185,0.414925223477655,1.86429114361687,1.76439267807935e-06,8.92278582914415e-05,6.60652296002645e-05,4728,"tags=40%, list=25%, signal=30%","CCNE1/SKP2/E2F3/E2F2/CCNA2/HDAC2/IRAK1/LYN/CDK6/CCNA1/TAP2/IFNAR2/BAK1/PLCG2/CXCL10/RUNX3/E2F1/NFKBIE/BID/PSMD2/CALR/TAP1/SEM1/ICAM1/PSMD14/PSMD7/HLA-DOB/PSMC2/SAP30/CYCS/CDK2/TNF/CD58/RELB/HLA-F/MAP2K3/MYC/CCNE2/CDK4/TLR2/PSMD11/PSMC4/NFKB2/NFKBIB/IKBKE/PSMC3/CD40/FAS/ADRM1/PIK3CD/CCND3/PSMD4/VIM/HLA-A/TAPBP/MAPK14/MYD88/MAPK12/PSMD1/CASP3/AKT3/PSMD8/HLA-G/TAPBPL/EIF2AK2/JAK3/PSMD12/HDAC1/STAT1/HLA-B/MAP3K7/TNFAIP3/PSMD13/BAX"
"hsa04218","Cellular senescence",151,0.420824454085828,1.83857758120371,8.17254655683625e-06,0.000361635185140004,0.000267758433243714,4657,"tags=40%, list=25%, signal=31%","CCNE1/CDKN2A/CHEK1/FOXM1/CDC25A/E2F3/MRAS/CCNB2/E2F2/CCNA2/CHEK2/RHEB/MYBL2/PPP1CB/CDK6/LIN9/CCNA1/TRPV4/RBL1/CDK1/PPP3R1/CCNB1/E2F1/E2F5/E2F4/IL1A/RRAS2/CDK2/SLC25A5/KIR2DL4/HLA-F/MAP2K3/MYC/CXCL8/CCNE2/EIF4EBP1/CDK4/NRAS/ITPR3/CDKN2B/IGFBP3/PIK3CD/CCND3/CALML5/HLA-A/VDAC3/MAPK14/MAPK12/MAP2K1/AKT3/CCNB3/HLA-G/MRE11/RAD1/NFATC1/TRAF3IP2/PPP1CC/VDAC2/HLA-B/CALM2/LIN37"
"hsa03050","Proteasome",44,0.588878394416295,2.08832653589475,1.54655583966782e-05,0.000505231923544599,0.000374078944283691,5641,"tags=68%, list=30%, signal=48%","PSME4/PSMB2/PSMB4/PSMD2/SEM1/PSMD14/PSMD7/PSMC2/PSMA7/IFNG/PSMD11/PSMA4/PSMC4/PSMB9/PSMC3/ADRM1/PSMA5/PSMD4/PSMB5/PSMD1/PSMB7/PSMD8/PSMB1/PSMD12/PSMD13/PSMA1/PSMB8/PSMB6/POMP/PSMA3"
"hsa05206","MicroRNAs in cancer",158,0.406320588422408,1.78948957385339,1.30386407533568e-05,0.000505231923544599,0.000374078944283691,2392,"tags=26%, list=13%, signal=23%","CCNE1/CDKN2A/FSCN1/CDC25A/E2F3/STMN1/EZH2/E2F2/HDAC2/GLS/DNMT3B/KIF23/NOTCH1/CDCA5/CDC25B/CDK6/SHC4/EGFR/DNMT3A/PTGS2/SERPINB5/PIM1/BAK1/PLCG2/E2F1/HMGA2/DNMT1/ST14/PRKCA/MET/IGF2BP1/EFNA5/SLC45A3/SOS1/SLC7A1/RDX/CDC25C/MYC/CCNE2/CYP1B1/VEGFA"
