"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","54/678","234/7187",0.230769230769231,2.44622191967325,7.25868702573138,2.40778564718015e-10,8.04200406158171e-08,6.74179981210443e-08,"GRPR/AGTR1/TRH/PTGER3/PYY/LYPD6/GIPR/GHRH/PRLR/GLRA3/LYPD6B/GRIA1/GRIK4/GRM4/VIPR1/NPY1R/GRIK3/ADRA2A/GRIA2/F2RL2/RLN2/GLRB/THRB/TAC1/KISS1R/GABRA2/GRP/SSTR2/CTSG/AVPR2/RLN1/NTS/CHRNA9/GRIK1/VIPR2/NPFFR2/CHRNA6/NPY2R/HTR2B/HTR1F/CALCR/CYSLTR1/GRIN1/GHR/UCN/GRM7/LEP/GRIA4/ADRA2C/DRD1/CHRNB2/ADRB1/NPY5R/GRIA3",54
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","39/678","149/7187",0.261744966442953,2.77457385519986,7.0642148497177,1.86778478775986e-09,3.11920059555897e-07,2.6148987028638e-07,"ESR1/THPO/AGTR1/TRH/SLC40A1/BMPR1B/ADCY1/ADCY9/RAPGEF3/GNA14/GIPR/GHRH/PRLR/ADCY5/IRS1/VIPR1/EPOR/IGF1R/ADRA2A/THRB/RAMP2/RAMP3/SSTR2/AVPR2/GPER1/DIO1/VIPR2/GNG13/RAMP1/CALCR/PRKACB/GHR/UCN/LEP/ADRA2C/DRD1/ADIPOQ/ADRB1/EPO",39
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","16/678","37/7187",0.432432432432432,4.58391134497329,7.05352835821334,6.41849796699625e-08,6.77524632684262e-06,5.67984722010759e-06,"NAT1/CYP2A6/UGT2B15/GSTM3/CYP2A7/UGT2B11/UGT2B28/SULT1A1/GSTM2/SULT1A2/NAT2/HPGDS/GSTM5/UGT2B17/CYP2C8/GSTM1",16
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","17/678","42/7187",0.404761904761905,4.29059558926816,6.90238782648063,8.11406745729656e-08,6.77524632684262e-06,5.67984722010759e-06,"CYP2A6/UGT2B15/GSTM3/CYP2A7/FMO5/UGT2B11/UGT2B28/GSTM2/HPGDS/GSTM5/UGT2B17/MAOA/ALDH3B2/ADH1C/CYP2C8/GSTM1/ADH1B",17
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","16/678","45/7187",0.355555555555556,3.7689937725336,6.01339359357271,1.56487764867806e-06,0.000104533826931694,8.76331483259712e-05,"AKR7A3/CYP2A6/UGT2B15/GSTM3/CYP2A7/UGT2B11/UGT2B28/AKR7L/GSTM2/HPGDS/GSTM5/UGT2B17/ALDH3B2/ADH1C/GSTM1/ADH1B",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","32/678","144/7187",0.222222222222222,2.3556211078335,5.30324928266816,2.90511394773597e-06,0.000161718009757303,0.000135571984227679,"ADCY1/ADCY9/SLC6A4/GLRA3/GRIA1/ADCY5/SLC1A1/GRIK4/GRM4/GRIK3/ADRA2A/GRIA2/GLRB/SLC1A2/TAC1/SLC18A2/GABRA2/SLC1A7/GRIK1/GNG13/CHRNA6/HTR2B/HTR1F/GRIN1/PRKACB/GRM7/GRIA4/ADRA2C/DRD1/CHRNB2/ADRB1/GRIA3",32
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","14/678","38/7187",0.368421052631579,3.90537183667132,5.79525018815852,4.36185672601536e-06,0.000208122878069876,0.000174474269040615,"CYP2A6/UGT2B15/CYP2A7/PNPLA4/UGT2B11/UGT2B28/UGT2B17/CYP26A1/SDR16C5/ADH1C/CYP2C8/RDH16/ADH1B/DHRS9",14
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","24/678","102/7187",0.235294117647059,2.49418705535311,4.90497102057382,1.84480591445635e-05,0.000770206469285526,0.000645682070059723,"KCNJ3/CACNA1D/ADCY1/ADCY9/ITPR1/GLUL/GRIA1/ADCY5/SLC1A1/GRIK4/GRM4/GRIK3/GRIA2/SLC1A2/PLA2G4F/SLC1A7/GRIK1/GNG13/SLC38A1/GRIN1/PRKACB/GRM7/GRIA4/GRIA3",24
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","11/678","29/7187",0.379310344827586,4.02080154612959,5.26049563316372,3.43423785289828e-05,0.00127448382540892,0.00106842955423502,"TAT/TPO/FAH/PNMT/HGD/MAOA/ALDH3B2/AOC3/ADH1C/ADH1B/TYRP1",11
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","14/678","45/7187",0.311111111111111,3.2978695509669,4.99025825688544,4.02478244057969e-05,0.00134427733515362,0.00112693908336231,"ABCC8/ABCC11/ABCG1/ABCC12/ABCC6/ABCA3/ABCG2/ABCA9/ABCA8/ABCA12/ABCB1/ABCA10/ABCB5/ABCB11",14
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","14/678","48/7187",0.291666666666667,3.09175270403147,4.69260051982396,8.90113438064746e-05,0.00270270807557841,0.00226574329689208,"PTGER3/ADCY1/ADCY9/ADCY5/IRS1/NPY1R/PLAAT2/PLAAT3/LIPE/PRKACB/PLIN1/AQP7/CIDEC/ADRB1",14
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","20/678","87/7187",0.229885057471264,2.43684942189672,4.35154047244516,0.000128205696586498,0.00342069475582929,0.0028676482983,"KCNJ3/CACNA1D/ITPR1/SLC6A4/RAPGEF3/ALOX15B/ADCY5/CYP4X1/CACNA1F/SLC18A2/TPH1/PLA2G4F/MAOA/KCND2/GNG13/HTR2B/HTR1F/DUSP1/PRKACB/CYP2C8",20
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","30/678","158/7187",0.189873417721519,2.01271423770584,4.15403360144392,0.000139519046037852,0.00342069475582929,0.0028676482983,"PGR/ESR1/AR/UGT2B15/FGF10/CACNA1D/GSTM3/ADCY1/ADCY9/UGT2B11/BCL2/CREB3L4/UGT2B28/ADCY5/CACNA1F/CREB3L1/CCND1/ARRB1/GSTM2/GSTM5/UGT2B17/FGF16/CHRNA9/EPHX2/PRKACB/FGF18/FOS/CHRNB2/GSTM1/ADRB1",30
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","16/678","62/7187",0.258064516129032,2.73555999619374,4.42939447197782,0.000143382414915,0.00342069475582929,0.0028676482983,"CACNA1D/CREB3L4/GRIA1/ADCY5/CREB3L1/GRIA2/SLC18A2/CAMK2B/MAOA/GRIN1/PRKACB/FOS/FOSB/GRIA4/DRD1/GRIA3",16
"Organismal Systems","Digestive system","hsa04976","Bile secretion","15/678","57/7187",0.263157894736842,2.78955131190809,4.37762076703591,0.000181779192117163,0.00404761667780883,0.00339321158618704,"ATP1A4/UGT2B15/ADCY1/ADCY9/UGT2B11/UGT2B28/ADCY5/ATP1A2/UGT2B17/ABCG2/PRKACB/ABCB1/SLC4A4/CA2/ABCB11",15
